CODIGO DEL PRODUCTO;NOMBRE PRODUCTO;UNIDAD;PRESENTACION;TEMPERATURA;PRECIO EXWORK 2022;TIPO
130601013M;MAGLUMI CYFRA 21-1;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;111.15;REACTIVO
130601014M;MAGLUMI CA 242;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;101.89;REACTIVO
130601015M;MAGLUMI CA 72-4;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;101.89;RUO
130601016M;MAGLUMI NSE;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;101.89;RUO
130601017M;MAGLUMI Sangtec 100;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;242.06;REACTIVO
130601018M;MAGLUMI SCCA (total);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;101.89;REACTIVO
130601019M;MAGLUMI Pepsinogen I (PG I);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;101.89;REACTIVO
130601020M;MAGLUMI Pepsinogen II (PG II);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;101.89;REACTIVO
130601022M;MAGLUMI Gastrin-17;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;99.42;RUO
130601023M;MAGLUMI ProGRP;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;226.01;REACTIVO
130601025M;MAGLUMI HE4 (CLIA);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;172.90;REACTIVO
130601026M;MAGLUMI HER-2 (CLIA);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;188.00;REACTIVO
130605001M;MAGLUMI C-Peptide;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;67.93;REACTIVO
130605002M;MAGLUMI Insulin;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;67.93;REACTIVO
130605003M;MAGLUMI Insulin Ab, IAA;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;106.21;REACTIVO
130605004M;MAGLUMI Proinsulin;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;116.09;REACTIVO
130605005M;MAGLUMI GAD65;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;106.21;REACTIVO
130605006M;MAGLUMI  ICA;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;106.21;REACTIVO
130605007M;MAGLUMI IGF-1;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;175.99;REACTIVO
130605008M;MAGLUMI Anti-IA2;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;106.21;REACTIVO
130611001M;MAGLUMI Intact PTH;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;106.21;REACTIVO
130611002M;MAGLUMI Calcitonin (CT);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;106.21;REACTIVO
130611003M;MAGLUMI Osteocalcin (BGP);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;106.21;RUO
130611004M;MAGLUMI 25 OH-Vitamin D;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;193.28;REACTIVO
130613001M;MAGLUMI FA;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;58.05;REACTIVO
130613002M;MAGLUMI VB12;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;134.62;REACTIVO
130616001M;MAGLUMI Procalcitonin (PCT);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;237.74;REACTIVO
130616002M;MAGLUMI  CRP;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;96.95;REACTIVO
130698001M;MAGLUMI GH;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;67.93;REACTIVO
130698002M;MAGLUMI Cortisol;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;46.31;REACTIVO
130698003M;MAGLUMI ACTH;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;109.92;REACTIVO
130698004M;MAGLUMI 17-OH-PROGESTERONE;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;98.80;REACTIVO
130698005M;MAGLUMI IGFBP-3;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;165.49;REACTIVO
130606001M;MAGLUMI CK-MB;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;145.11;REACTIVO
130606002M;MAGLUMI Troponin I;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;145.11;REACTIVO
130606003M;MAGLUMI Myoglobin (MB);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;108.06;REACTIVO
130606004M;MAGLUMI NT-proBNP;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;174.14;REACTIVO
130606005M;MAGLUMI Angiotensin I (A I);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;125.97;REACTIVO
130606006M;MAGLUMI Angiotensin II (A II);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;125.97;REACTIVO
130606007M;MAGLUMI Aldosterone (ALD);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;106.21;REACTIVO
130606008M;MAGLUMI D-Dimer;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;145.11;REACTIVO
